Operating_Days;Day_Map
Everyday;1111111
Friday;0000100
Holidays;0000001
Monday;1000000
Saturday;0000010
Sunday;0000001
Thursday;0001000
Tuesday;0100000
Wednesday;0010000
ΔΕ ΤΡ ΤΕ ΠΑ;1110100
ΔΕ-ΤΕ-ΠΑ;1010100
ΔΕ-ΤΕ-ΠΕ-ΠΑ;1011100
ΔΕ-ΤΡ-ΤΕ-ΠΑ-ΣΑ-ΚΥ;1110111
ΔΕ-ΤΡ-ΤΕ-ΠΕ;1111000
ΔΕΥΤΕΡΑ;1000000
ΔΕΥΤΕΡΑ-ΠΕΜΠΤΗ;1001000
ΔΕΥΤΕΡΑ-ΤΕΤΑΡΤΗ-ΠΑΡΑΣΚΕΥΗ-Χ;1010100
ΔΕΥΤΕΡΑ_ΟΚΤ-ΜΑΙ;1000000
ΚΑΘΗΜΕΡΙΝΗ;1111100
ΚΑΘΗΜΕΡΙΝΗ-ΚΥΡΙΑΚΗ;1111101
ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;1111111
ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;1111110
ΚΑΘΗΜΕΡΙΝΗ_ΜΗ_ΣΧΟΛΙΚΗ;1111100
ΚΑΘΗΜΕΡΙΝΗ_ΟΚΤΩΒΡΙΟΣ-ΜΑΡΤΙΟΣ;1111100
ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;0000001
ΚΥΡΙΑΚΗ-Χ_ΕΚΤΟΣ_ΙΟΥΝΙΟΥ;0000001
ΚΥΡΙΑΚΗ_ΟΚΤΩΒΡΙΟΣ-ΜΑΡΤΙΟΣ;0000001
ΟΛΕΣ_ΟΚΤΩΒΡΙΟΣ-ΜΑΙΟΣ;1111111
ΠΑΡΑΣΚΕΥΗ;0000100
ΠΕΜΠΤΗ;0001000
ΣΑΒΒΑΤΟ;0000010
ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;0000011
ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;0000011
ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ_ΟΚΤ-ΜΑΙ;0000011
ΣΑΒΒΑΤΟ-Χ_ΕΚΤΟΣ_ΙΟΥΝΙΟΥ;0000010
ΣΑΒΒΑΤΟ_ΟΚΤΩΒΡΙΟΣ-ΜΑΡΤΙΟΣ;0000010
ΤΕΤΑΡΤΗ;0010000
ΤΡ-ΠΕ;0101000
ΤΡ-ΤΕ-ΠΕ-ΠΑ;0111100
ΤΡΙΤΗ;0100000
ΤΡΙΤΗ-ΠΑΡΑΣΚΕΥΗ_ΟΚΤ-ΜΑΙ;0100100
ΤΡΙΤΗ-ΠΕΜΠΤΗ-ΠΑΡΑΣΚΕΥΗ;0101100
ΤΡΙΤΗ-ΠΕΜΠΤΗ-Χ;0101000
ΤΡ-ΤΕ-ΠΑ;0110100
ΤΡ-ΤΕ-ΠΕ;0111000